No,model,dataset,acc_val,acc,'bicycle','boat','bus','car','cat','dog','motorcycle','person'
0,EfficientNetV2B0_FineTurning_10_0,,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,EfficientNetV2B0_FineTurning_10_0,ds_aug4,0.0,0.172,0.099,0.159,0.0,0.933,0.095,0.017,0.009,0.118
2,EfficientNetV2B0_FineTurning_10_0,Exdark,0.0,0.411,0.471,0.703,,0.578,0.341,0.226,0.33,0.238
3,EfficientNetV2B0_FineTurning_10_0,ds_aug1,0.0,0.736,0.898,0.54,0.861,0.961,0.898,0.475,0.605,0.682
4,EfficientNetV2B0_FineTurning_10_0,test,0.0,0.875,0.919,0.913,0.972,0.972,0.971,0.62,0.818,0.825
5,EfficientNetV2B0_FineTurning_10_0,ds_aug2,0.0,0.547,0.742,0.317,0.517,0.943,0.752,0.293,0.349,0.503
6,EfficientNetV2B0_FineTurning_10_0,ds_aug3,0.0,0.244,0.3,0.117,0.045,0.954,0.289,0.067,0.04,0.191
7,EfficientNetV2B0_FineTurning_9_1,,0.9289454221725464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,EfficientNetV2B0_FineTurning_9_1,ds_aug4,0.0,0.489,0.53,0.272,0.733,0.714,0.651,0.404,0.296,0.36
9,EfficientNetV2B0_FineTurning_9_1,Exdark,0.0,0.372,0.337,0.665,,0.491,0.376,0.228,0.326,0.181
10,EfficientNetV2B0_FineTurning_9_1,ds_aug1,0.0,0.812,0.876,0.673,0.962,0.975,0.895,0.535,0.765,0.834
11,EfficientNetV2B0_FineTurning_9_1,test,0.0,0.891,0.919,0.896,0.969,0.968,0.952,0.66,0.861,0.904
12,EfficientNetV2B0_FineTurning_9_1,ds_aug2,0.0,0.738,0.76,0.583,0.927,0.94,0.787,0.475,0.704,0.748
13,EfficientNetV2B0_FineTurning_9_1,ds_aug3,0.0,0.59,0.594,0.372,0.861,0.806,0.676,0.407,0.506,0.529
14,EfficientNetV2B0_FineTurning_8_2,,0.9117426872253418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,EfficientNetV2B0_FineTurning_8_2,ds_aug4,0.0,0.484,0.473,0.417,0.667,0.608,0.584,0.455,0.367,0.328
16,EfficientNetV2B0_FineTurning_8_2,Exdark,0.0,0.407,0.388,0.805,,0.442,0.385,0.272,0.38,0.176
17,EfficientNetV2B0_FineTurning_8_2,ds_aug1,0.0,0.826,0.887,0.751,0.951,0.972,0.895,0.586,0.793,0.79
18,EfficientNetV2B0_FineTurning_8_2,test,0.0,0.887,0.905,0.919,0.976,0.965,0.956,0.663,0.855,0.863
19,EfficientNetV2B0_FineTurning_8_2,ds_aug2,0.0,0.751,0.795,0.628,0.917,0.883,0.813,0.542,0.756,0.688
20,EfficientNetV2B0_FineTurning_8_2,ds_aug3,0.0,0.61,0.633,0.518,0.823,0.756,0.66,0.488,0.574,0.459
21,EfficientNetV2B0_FineTurning_7_3,,0.8922961950302124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,EfficientNetV2B0_FineTurning_7_3,ds_aug4,0.0,0.503,0.473,0.466,0.67,0.714,0.568,0.306,0.33,0.522
23,EfficientNetV2B0_FineTurning_7_3,Exdark,0.0,0.414,0.305,0.718,,0.597,0.397,0.287,0.416,0.187
24,EfficientNetV2B0_FineTurning_7_3,ds_aug1,0.0,0.803,0.915,0.615,0.951,0.979,0.914,0.522,0.744,0.806
25,EfficientNetV2B0_FineTurning_7_3,test,0.0,0.878,0.901,0.848,0.969,0.975,0.93,0.646,0.852,0.911
26,EfficientNetV2B0_FineTurning_7_3,ds_aug2,0.0,0.748,0.827,0.586,0.889,0.94,0.857,0.455,0.685,0.771
27,EfficientNetV2B0_FineTurning_7_3,ds_aug3,0.0,0.624,0.594,0.57,0.792,0.813,0.679,0.374,0.549,0.64
28,EfficientNetV2B0_FineTurning_6_4,,0.8706058263778687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,EfficientNetV2B0_FineTurning_6_4,ds_aug4,0.0,0.471,0.314,0.33,0.67,0.534,0.641,0.512,0.296,0.484
30,EfficientNetV2B0_FineTurning_6_4,Exdark,0.0,0.392,0.239,0.65,0.681,0.371,0.433,0.235,0.386,0.202
31,EfficientNetV2B0_FineTurning_6_4,ds_aug1,0.0,0.846,0.898,0.767,0.962,0.936,0.914,0.653,0.824,0.825
32,EfficientNetV2B0_FineTurning_6_4,test,0.0,0.898,0.898,0.935,0.976,0.958,0.93,0.707,0.883,0.904
33,EfficientNetV2B0_FineTurning_6_4,ds_aug2,0.0,0.778,0.813,0.647,0.927,0.852,0.822,0.623,0.762,0.79
34,EfficientNetV2B0_FineTurning_6_4,ds_aug3,0.0,0.608,0.491,0.46,0.833,0.664,0.702,0.606,0.509,0.615
35,EfficientNetV2B0_FineTurning_5_5,,0.869857907295227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,EfficientNetV2B0_FineTurning_5_5,ds_aug4,0.0,0.493,0.452,0.307,0.764,0.784,0.638,0.263,0.373,0.398
37,EfficientNetV2B0_FineTurning_5_5,Exdark,0.0,0.383,0.235,0.617,0.613,0.502,0.343,0.245,0.39,0.182
38,EfficientNetV2B0_FineTurning_5_5,ds_aug1,0.0,0.814,0.876,0.706,0.951,0.94,0.917,0.582,0.79,0.761
39,EfficientNetV2B0_FineTurning_5_5,test,0.0,0.879,0.912,0.9,0.965,0.951,0.94,0.636,0.87,0.866
40,EfficientNetV2B0_FineTurning_5_5,ds_aug2,0.0,0.744,0.76,0.634,0.91,0.905,0.841,0.495,0.71,0.717
41,EfficientNetV2B0_FineTurning_5_5,ds_aug3,0.0,0.607,0.544,0.427,0.858,0.873,0.686,0.37,0.559,0.567
42,EfficientNetV2B0_FineTurning_4_6,,0.857890784740448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,EfficientNetV2B0_FineTurning_4_6,ds_aug4,0.0,0.529,0.477,0.456,0.823,0.551,0.616,0.451,0.407,0.468
44,EfficientNetV2B0_FineTurning_4_6,Exdark,0.0,0.392,0.273,0.697,0.647,0.381,0.397,0.267,0.4,0.125
45,EfficientNetV2B0_FineTurning_4_6,ds_aug1,0.0,0.81,0.873,0.657,0.955,0.947,0.873,0.653,0.765,0.78
46,EfficientNetV2B0_FineTurning_4_6,test,0.0,0.879,0.869,0.909,0.948,0.954,0.949,0.704,0.858,0.847
47,EfficientNetV2B0_FineTurning_4_6,ds_aug2,0.0,0.747,0.809,0.592,0.927,0.873,0.784,0.596,0.719,0.697
48,EfficientNetV2B0_FineTurning_4_6,ds_aug3,0.0,0.632,0.618,0.502,0.91,0.717,0.676,0.522,0.583,0.554
49,EfficientNetV2B0_FineTurning_3_7,,0.8376963138580322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,EfficientNetV2B0_FineTurning_3_7,ds_aug4,0.0,0.477,0.456,0.563,0.677,0.541,0.6,0.242,0.336,0.414
51,EfficientNetV2B0_FineTurning_3_7,Exdark,0.0,0.392,0.31,0.607,0.63,0.506,0.419,0.23,0.338,0.141
52,EfficientNetV2B0_FineTurning_3_7,ds_aug1,0.0,0.813,0.834,0.657,0.955,0.954,0.921,0.657,0.784,0.758
53,EfficientNetV2B0_FineTurning_3_7,test,0.0,0.876,0.898,0.845,0.962,0.975,0.933,0.694,0.858,0.85
54,EfficientNetV2B0_FineTurning_3_7,ds_aug2,0.0,0.75,0.774,0.576,0.934,0.887,0.838,0.569,0.71,0.729
55,EfficientNetV2B0_FineTurning_3_7,ds_aug3,0.0,0.598,0.569,0.57,0.823,0.668,0.711,0.35,0.543,0.564
56,EfficientNetV2B0_FineTurning_2_8,,0.8182498216629028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,EfficientNetV2B0_FineTurning_2_8,ds_aug4,0.0,0.503,0.481,0.469,0.639,0.707,0.581,0.36,0.38,0.43
58,EfficientNetV2B0_FineTurning_2_8,Exdark,0.0,0.385,0.327,0.626,0.622,0.481,0.403,0.237,0.312,0.105
59,EfficientNetV2B0_FineTurning_2_8,ds_aug1,0.0,0.799,0.827,0.712,0.934,0.951,0.851,0.593,0.747,0.796
60,EfficientNetV2B0_FineTurning_2_8,test,0.0,0.861,0.901,0.883,0.944,0.929,0.886,0.667,0.818,0.869
61,EfficientNetV2B0_FineTurning_2_8,ds_aug2,0.0,0.745,0.767,0.66,0.913,0.873,0.79,0.532,0.725,0.717
62,EfficientNetV2B0_FineTurning_2_8,ds_aug3,0.0,0.61,0.558,0.583,0.802,0.756,0.683,0.421,0.531,0.567
63,EfficientNetV2B0_FineTurning_1_9,,0.8189977407455444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,EfficientNetV2B0_FineTurning_1_9,ds_aug4,0.0,0.51,0.541,0.602,0.698,0.459,0.641,0.34,0.367,0.439
65,EfficientNetV2B0_FineTurning_1_9,Exdark,0.0,0.393,0.313,0.575,0.607,0.478,0.359,0.262,0.388,0.218
66,EfficientNetV2B0_FineTurning_1_9,ds_aug1,0.0,0.811,0.859,0.748,0.951,0.901,0.863,0.65,0.769,0.768
67,EfficientNetV2B0_FineTurning_1_9,test,0.0,0.848,0.887,0.858,0.962,0.919,0.822,0.69,0.818,0.841
68,EfficientNetV2B0_FineTurning_1_9,ds_aug2,0.0,0.758,0.813,0.702,0.927,0.83,0.829,0.579,0.71,0.694
69,EfficientNetV2B0_FineTurning_1_9,ds_aug3,0.0,0.616,0.611,0.696,0.799,0.58,0.705,0.451,0.528,0.564
70,EfficientNetV2B0_FineTurning_0_10,,0.7943156361579895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,EfficientNetV2B0_FineTurning_0_10,ds_aug4,0.0,0.436,0.353,0.414,0.733,0.276,0.425,0.374,0.367,0.545
72,EfficientNetV2B0_FineTurning_0_10,Exdark,0.0,0.369,0.419,0.647,0.628,0.365,0.318,0.208,0.241,0.167
73,EfficientNetV2B0_FineTurning_0_10,ds_aug1,0.0,0.802,0.845,0.764,0.938,0.887,0.8,0.667,0.762,0.771
74,EfficientNetV2B0_FineTurning_0_10,test,0.0,0.756,0.898,0.706,0.917,0.855,0.778,0.556,0.59,0.78
75,EfficientNetV2B0_FineTurning_0_10,ds_aug2,0.0,0.746,0.749,0.699,0.927,0.76,0.759,0.653,0.728,0.701
76,EfficientNetV2B0_FineTurning_0_10,ds_aug3,0.0,0.57,0.498,0.563,0.854,0.389,0.581,0.478,0.525,0.666
