2023-01-16 20:46:01,056 INFO    MainThread:29644 [wandb_setup.py:_flush():68] Configure stats pid to 29644
2023-01-16 20:46:01,057 INFO    MainThread:29644 [wandb_setup.py:_flush():68] Loading settings from C:\Users\rom21\.config\wandb\settings
2023-01-16 20:46:01,057 INFO    MainThread:29644 [wandb_setup.py:_flush():68] Loading settings from C:\Users\rom21\OneDrive\Desktop\git_project\Final_project_afeka\afeka_project_image_classification_low_light\code\wandb\settings
2023-01-16 20:46:01,057 INFO    MainThread:29644 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-16 20:46:01,057 INFO    MainThread:29644 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'code\\test.py', 'program': 'C:/Users/rom21/OneDrive/Desktop/git_project/Final_project_afeka/afeka_project_image_classification_low_light/code/test.py'}
2023-01-16 20:46:01,057 INFO    MainThread:29644 [wandb_init.py:_log_setup():478] Logging user logs to C:\Users\rom21\OneDrive\Desktop\git_project\Final_project_afeka\afeka_project_image_classification_low_light\code\wandb\run-20230116_204601-u6ft9l97\logs\debug.log
2023-01-16 20:46:01,057 INFO    MainThread:29644 [wandb_init.py:_log_setup():479] Logging internal logs to C:\Users\rom21\OneDrive\Desktop\git_project\Final_project_afeka\afeka_project_image_classification_low_light\code\wandb\run-20230116_204601-u6ft9l97\logs\debug-internal.log
2023-01-16 20:46:01,058 INFO    MainThread:29644 [wandb_init.py:init():518] calling init triggers
2023-01-16 20:46:01,058 INFO    MainThread:29644 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {}
2023-01-16 20:46:01,058 INFO    MainThread:29644 [wandb_init.py:init():571] starting backend
2023-01-16 20:46:01,058 INFO    MainThread:29644 [wandb_init.py:init():575] setting up manager
2023-01-16 20:46:01,061 INFO    MainThread:29644 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-01-16 20:46:01,065 INFO    MainThread:29644 [wandb_init.py:init():582] backend started and connected
2023-01-16 20:46:01,066 INFO    MainThread:29644 [wandb_init.py:init():670] updated telemetry
2023-01-16 20:46:01,098 INFO    MainThread:29644 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-01-16 20:46:01,824 INFO    MainThread:29644 [wandb_run.py:_on_init():2121] communicating current version
2023-01-16 20:46:02,790 INFO    MainThread:29644 [wandb_run.py:_on_init():2125] got version response 
2023-01-16 20:46:02,790 INFO    MainThread:29644 [wandb_init.py:init():758] starting run threads in backend
2023-01-16 20:46:02,917 INFO    MainThread:29644 [wandb_run.py:_console_start():2101] atexit reg
2023-01-16 20:46:02,917 INFO    MainThread:29644 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2023-01-16 20:46:02,917 INFO    MainThread:29644 [wandb_run.py:_redirect():2024] Wrapping output streams.
2023-01-16 20:46:02,917 INFO    MainThread:29644 [wandb_run.py:_redirect():2046] Redirects installed.
2023-01-16 20:46:02,918 INFO    MainThread:29644 [wandb_init.py:init():798] run started, returning control to user process
2023-01-16 20:47:21,398 WARNING MsgRouterThr:29644 [router.py:message_loop():77] message_loop has been closed
